YEAR,GENRE,RATING,VOTES,RunTime,Gross,MOVIES,ONE-LINE,STARS
2017.0,"['Action', 'Comedy', 'Crime']",6.9,205979.0,118.0,75.47,The Hitman's Bodyguard,"
The world's top bodyguard gets a new client, a hitman who must testify at the International Criminal Court. They must put their differences aside and work together to make it to the trial on time.","
    Director:
Patrick Hughes
| 
    Stars:
Ryan Reynolds, 
Samuel L. Jackson, 
Gary Oldman, 
Elodie Yung
"
1993.0,"['Action', 'Adventure', 'Sci-Fi']",8.1,897444.0,127.0,402.45,Jurassic Park,"
A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.","
    Director:
Steven Spielberg
| 
    Stars:
Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough
"
2016.0,"['Crime', 'Horror', 'Thriller']",7.1,237601.0,88.0,89.22,Don't Breathe,"
Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.","
    Director:
Fede Alvarez
| 
    Stars:
Stephen Lang, 
Jane Levy, 
Dylan Minnette, 
Daniel Zovatto
"
2001.0,"['Action', 'Adventure', 'Drama']",8.8,1713028.0,178.0,315.54,The Lord of the Rings: The Fellowship of the Ring,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","
    Director:
Peter Jackson
| 
    Stars:
Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean
"
2019.0,"['Action', 'Adventure', 'Horror']",6.4,99351.0,99.0,57.01,Escape Room,"
Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.","
    Director:
Adam Robitel
| 
    Stars:
Taylor Russell, 
Logan Miller, 
Jay Ellis, 
Tyler Labine
"
1975.0,"['Adventure', 'Thriller']",8.0,558731.0,124.0,260.0,Jaws,"
When a killer shark unleashes chaos on a beach community, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","
    Director:
Steven Spielberg
| 
    Stars:
Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary
"
2006.0,"['Crime', 'Drama', 'Thriller']",8.5,1227522.0,151.0,132.38,The Departed,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","
    Director:
Martin Scorsese
| 
    Stars:
Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg
"
2014.0,"['Drama', 'Mystery', 'Thriller']",8.1,895888.0,149.0,167.77,Gone Girl,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","
    Director:
David Fincher
| 
    Stars:
Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry
"
2017.0,"['Action', 'Adventure', 'Comedy']",6.9,337900.0,119.0,404.52,Jumanji: Welcome to the Jungle,"
Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game.","
    Director:
Jake Kasdan
| 
    Stars:
Dwayne Johnson, 
Karen Gillan, 
Kevin Hart, 
Jack Black
"
2000.0,"['Comedy', 'Crime', 'Drama']",7.6,517014.0,101.0,15.07,American Psycho,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.","
    Director:
Mary Harron
| 
    Stars:
Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage
"
2003.0,"['Action', 'Crime', 'Drama']",8.1,1034554.0,111.0,70.1,Kill Bill: Vol. 1,"
After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","
    Director:
Quentin Tarantino
| 
    Stars:
Uma Thurman, 
David Carradine, 
Daryl Hannah, 
Michael Madsen
"
2006.0,"['Action', 'Drama']",7.6,751815.0,117.0,210.61,300,"
King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.","
    Director:
Zack Snyder
| 
    Stars:
Gerard Butler, 
Lena Headey, 
David Wenham, 
Dominic West
"
2017.0,['Horror'],7.3,480607.0,135.0,327.48,It,"
In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.","
    Director:
Andy Muschietti
| 
    Stars:
Bill Skarsgård, 
Jaeden Martell, 
Finn Wolfhard, 
Sophia Lillis
"
2019.0,"['Action', 'Adventure', 'Sci-Fi']",7.5,363012.0,129.0,390.53,Spider-Man: Far from Home,"
Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","
    Director:
Jon Watts
| 
    Stars:
Tom Holland, 
Samuel L. Jackson, 
Jake Gyllenhaal, 
Marisa Tomei
"
2012.0,"['Adventure', 'Fantasy']",7.8,774632.0,169.0,303.0,The Hobbit: An Unexpected Journey,"
A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.","
    Director:
Peter Jackson
| 
    Stars:
Martin Freeman, 
Ian McKellen, 
Richard Armitage, 
Andy Serkis
"
1995.0,"['Comedy', 'Romance']",6.8,194461.0,97.0,56.63,Clueless,"
Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.","
    Director:
Amy Heckerling
| 
    Stars:
Alicia Silverstone, 
Stacey Dash, 
Brittany Murphy, 
Paul Rudd
"
2017.0,"['Action', 'Comedy', 'Crime']",5.5,170844.0,116.0,58.06,Baywatch,"
Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","
    Director:
Seth Gordon
| 
    Stars:
Dwayne Johnson, 
Zac Efron, 
Alexandra Daddario, 
Priyanka Chopra Jonas
"
